"LoanID","LoanDate","AttractionName","UserEmail","ContactNo","PassNo","Status"
"06/11/2022oopg2t7@outlook.com","Sun Nov 06 08:00:00 SGT 2022","SMU School","oopg2t4@outlook.com","","","OVERDUE"
"06/11/2022oopg2t8@outlook.com","Sun Nov 06 08:00:00 SGT 2022","Mandai Zoo","singaporesportsschooltest@outlook.com","","5","OVERDUE"
"12/11/2022gideonTest23@sss.com","Sat Nov 12 08:00:00 SGT 2022","Mandai Zoo","gideonTest23@sss.com","","5","CONFIRMED"
"23/10/2022gideonTest22@sss.com","Sun Oct 23 08:00:00 SGT 2022","Mandai Zoo","gideonTest22@sss.com","","5","LOST"
"23/10/2022gideonTest3@sss.com","Sun Oct 23 08:00:00 SGT 2022","Mandai Zoo","gideonTest3@sss.com","","5","CONFIRMED"
"13/11/2022khantTest13@sss.com","Sun Nov 13 08:00:00 SGT 2022","SMU pway","khantTest13@sss.com","","","CONFIRMED"
"13/11/2022khantTest30@sss.com","Sun Nov 13 08:00:00 SGT 2022","Mandai Zoo","khantTest30@sss.com","","5","CONFIRMED"
"13/11/2022khantTest31@sss.com5","Sun Nov 13 08:00:00 SGT 2022","Mandai Zoo","khantTest31@sss.com","","5","CONFIRMED"
"11/11/2022gideonTest31@sss.com5","Fri Nov 11 08:00:00 SGT 2022","Mandai Zoo","gideonTest31@sss.com","","5","CONFIRMED"
"10/11/2022gideonTest33@sss.com5","Thu Nov 10 08:00:00 SGT 2022","Mandai Zoo","gideonTest33@sss.com","","5","CONFIRMED"
"09/11/2022yeoshitanTest33@sss.com5","Wed Nov 09 08:00:00 SGT 2022","Mandai Zoo","yeoshitanTest33@sss.com","","5","CONFIRMED"
"13/11/2022gideonTest3@sss.com","Sun Nov 13 08:00:00 SGT 2022","Mandai Zoo","gideonTest3@sss.com","","5","CONFIRMED"
